,<CLOSE>,indicator,Общая стоимость портфеля
2014-07-16,30.28,0.0,4870.0
2014-07-17,27.99,0.0,4870.0
2014-07-18,30.49,10.0,4870.0
2014-07-22,26.8,0.0,4870.0
2014-07-23,28.0,0.0,4870.0
2014-07-24,34.4,100.0,4870.0
2014-07-28,29.96,0.0,4870.0
2014-07-29,28.85,0.0,4870.0
2014-07-30,28.8,0.0,4870.0
2014-07-31,26.01,0.0,4870.0
2014-08-01,25.6,0.0,4870.0
2014-08-04,28.59,0.0,4870.0
2014-08-05,27.8,50.0,4870.0
2014-08-06,26.3,0.0,4870.0
2014-08-07,24.5,0.0,4870.0
2014-08-08,24.62,0.0,4870.0
2014-08-11,24.02,0.0,4870.0
2014-08-12,26.51,0.0,4870.0
2014-08-13,25.15,0.0,4870.0
2014-08-14,26.46,0.0,4870.0
2014-08-15,25.69,100.0,4870.0
2014-08-18,24.46,0.0,4870.0
2014-08-19,26.99,0.0,4870.0
2014-08-20,26.85,0.0,4870.0
2014-08-21,30.0,0.0,4870.0
2014-08-22,27.98,0.0,4870.0
2014-08-25,27.28,0.0,4870.0
2014-08-26,25.86,0.0,4870.0
2014-08-27,24.52,0.0,4870.0
2014-08-28,24.09,0.0,4870.0
2014-08-29,25.77,100.0,4870.0
2014-09-01,25.6,0.0,4870.0
2014-09-02,24.8,0.0,4870.0
2014-09-03,25.0,0.0,4870.0
2014-09-05,25.59,0.0,4870.0
2014-09-10,24.0,0.0,4870.0
2014-09-11,24.44,0.0,4870.0
2014-09-12,23.95,0.0,4870.0
2014-09-15,24.0,0.0,4870.0
2014-09-16,25.0,0.0,4870.0
2014-09-18,26.25,0.0,4870.0
2014-09-22,26.2,0.0,4870.0
2014-09-23,24.01,0.0,4870.0
2014-09-24,21.31,0.0,4870.0
2014-09-25,23.12,0.0,4870.0
2014-09-26,23.5,0.0,4870.0
2014-09-29,23.1,0.0,4870.0
2014-10-01,20.8,0.0,4870.0
2014-10-02,20.8,0.0,4870.0
2014-10-03,22.55,0.0,4870.0
