ahe,female,ne,midwest,south,west,race,yrseduc,ba,hsdipl,age
12.82051277,0,1,0,0,0,1,12,0,1,48
9.615385056,1,1,0,0,0,1,12,0,1,46
24.03846169,0,1,0,0,0,1,14,0,1,39
21.36752129,0,1,0,0,0,1,12,0,1,37
8.653845787,0,1,0,0,0,1,12,0,1,30
8.653845787,1,1,0,0,0,1,12,0,1,26
11.11111069,1,1,0,0,0,1,9,0,0,63
13.88888931,0,1,0,0,0,1,12,0,1,38
15.38461494,0,1,0,0,0,1,13,0,1,49
11.53846169,1,1,0,0,0,1,13,0,1,51
15.86538506,0,1,0,0,0,1,12,0,1,37
10.78431416,1,1,0,0,0,2,19,1,1,44
14.10256386,0,1,0,0,0,1,12,0,1,35
26.92307663,0,1,0,0,0,1,18,1,1,46
7.692307472,1,1,0,0,0,1,12,0,1,35
11.53846169,1,1,0,0,0,1,12,0,1,45
24.78632545,1,1,0,0,0,1,13,0,1,49
19.61538506,0,1,0,0,0,1,18,1,1,45
5.288461685,0,1,0,0,0,1,13,0,1,32
11.05769253,0,1,0,0,0,1,16,1,1,27
31.73077011,0,1,0,0,0,1,18,1,1,37
13.46153831,1,1,0,0,0,1,14,0,1,50
21.63461494,0,1,0,0,0,1,14,0,1,52
22.59615326,0,1,0,0,0,1,12,0,1,32
31.25,0,1,0,0,0,1,13,0,1,43
13.94230747,0,1,0,0,0,1,12,0,1,45
13.6217947,1,1,0,0,0,1,13,0,1,44
10.28622532,0,1,0,0,0,1,12,0,1,31
12.01923084,0,1,0,0,0,1,12,0,1,34
14.42307663,0,1,0,0,0,1,13,0,1,34
17.62820435,0,1,0,0,0,1,16,1,1,41
21.36752129,0,1,0,0,0,1,16,1,1,51
23.50427437,0,1,0,0,0,1,18,1,1,39
21.15384674,1,1,0,0,0,1,16,1,1,34
24.50980377,0,1,0,0,0,1,20,1,1,41
14.52991486,1,1,0,0,0,1,18,1,1,57
23.07692337,1,1,0,0,0,1,16,1,1,25
5.625,0,1,0,0,0,4,14,0,1,33
14.52991486,0,1,0,0,0,1,13,0,1,35
